hotel_names,star_rating,distance_from_center,swimmingpool,breakfast,breakfast_and_dinner,free_cancellation,address,Air conditioning,Heating,WiFi is available in all areas and is free of charge.,City view,Wardrobe or closet,Soundproofing,TV,Coffee machine,Private bathroom,Lift,Safety deposit box,Pets are allowed. Charges may be applicable.,24-hour front desk,Bar,Room service,Fitness centre,Spa lounge/relaxation area,Electric kettle,Minibar,Tea/Coffee maker,Restaurant,Parking garage,Airport shuttle,Non-smoking rooms,24-hour security,Towels,Facilities for disabled guests,Hairdryer,Iron,Electric vehicle charging station,city
Hotel Elysée,2,250,0,0,0,1,"92 rue Président Edouard Herriot, 2nd arr., 69002 Lyon, France",1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2
Résidence Montempô Part Dieu,0,2600,0,0,0,1,"30 Avenue Georges Pompidou, 3rd arr., 69003 Lyon, France",1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,2
Hotel ParkSaône,3,4000,0,1,0,1,"26, rue Félix Mangini - Rue des mûriers, 9th arr., 69009 Lyon, France",1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,2
Fourvière Hôtel,4,1300,1,1,0,1,"23 rue Roger Radisson, 5th arr., 69005 Lyon, France",1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,2
Hôtel Silky by HappyCulture,4,600,0,1,0,1,"2, Place Francisque Régaud, 2nd arr., 69002 Lyon, France",1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,2
Bayard Bellecour,3,150,0,1,0,1,"23 Place Bellecour, 2nd arr., 69002 Lyon, France",1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,2
Best Western Crequi Lyon Part Dieu,4,1200,0,1,0,1,"37, Rue de Bonnel, 3rd arr., 69003 Lyon, France",1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,2
Best Western Richelieu Lyon Part-Dieu,3,2300,0,0,0,1,"25 rue Lalande, Part Dieu, 6th arr., 69006 Lyon, France",1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,2
Hôtel Chromatics & Restaurant Hill Club,3,1500,0,1,1,1,"12 rue Marc Antoine Petit, 2nd arr., 69002 Lyon, France",1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,2
Hôtel de l'Abbaye - Lyon,4,600,0,1,0,1,"20 Rue de l'Abbaye d'Ainay, 2nd arr., 69002 Lyon, France",1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,2
Hotel des Savoies Lyon Perrache,3,900,0,1,0,1,"80 Rue de la Charité, 2nd arr., 69002 Lyon, France",1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,2
MEININGER Hotel Lyon Centre Berthelot,0,1400,0,1,0,1,"Rue Professeur Zimmermann 7, 7th arr., 69007 Lyon, France",1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,2
Lyon Marriott Hotel Cité Internationale,4,3400,0,1,0,1,"70 Quai Charles de Gaulle, 6th arr., 69006 Lyon, France",1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,2
The Ruck Hotel,4,3600,0,0,0,1,"345 Avenue Jean Jaurès, 7th arr., 69007 Lyon, France",1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2
"Radisson Blu Hotel, Lyon",4,1800,0,1,0,1,"129 rue Servient, 3rd arr., 69003 Lyon, France",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,2
Boscolo Lyon Hotel & Spa,5,500,1,1,0,1,"11 Quai Jules Courmont, 2nd arr., 69002 Lyon, France",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,2
Globe Et Cecil,4,150,0,1,0,1,"21, Rue Gasparin, 2nd arr., 69002 Lyon, France",1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,2
Collège Hôtel,4,900,0,1,0,1,"5 Place Saint Paul, 5th arr., 69005 Lyon, France",1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,2
Hôtel Le Roosevelt,4,1700,0,1,0,1,"48, rue de Sèze, 6th arr., 69006 Lyon, France",1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,2
Sofitel Lyon Bellecour,5,400,0,1,0,1,"20 Quai Gailleton, 2nd arr., 69002 Lyon, France",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,2
Mercure Lyon Centre Saxe Lafayette,4,1200,1,1,0,1,"29 Rue de Bonnel, 3rd arr., 69003 Lyon, France",1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,2
Okko Hotels Lyon Pont Lafayette,4,1100,0,1,0,1,"14 bis quai Général Sarrail, 6th arr., 69006 Lyon, France",1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,2
B&B HOTEL LYON Centre Perrache Berthelot,3,1100,0,1,0,1,"43 Rue Raulin, 7th arr., 69007 Lyon, France",1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,2
Novotel Lyon Confluence,4,2200,0,1,0,1,"3, rue Montrochet, 2nd arr., 69002 Lyon, France",1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,2
Citadines Presqu'île Lyon,3,450,0,0,0,1,"2 Rue Thomassin, 2nd arr., 69002 Lyon, France",0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,2
Hôtel Edmond W Lyon Part-Dieu,3,2200,0,1,0,1,"17, Rue Professeur Weill, 6th arr., 69006 Lyon, France",1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,2
Hotel Carlton Lyon - MGallery Hotel Collection,4,500,0,1,0,1,"4 rue Jussieu, 2nd arr., 69002 Lyon, France",1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,2
Mercure Lyon Centre Château Perrache,4,1100,0,1,1,1,"12 Cours Verdun Rambaud - Esplanade De La Gare, 2nd arr., 69002 Lyon, France",1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,2
Republik Hotel,3,300,0,0,0,1,"18 rue Bellecordière, 2nd arr., 69002 Lyon, France",1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,2
Hotelo Lyon Charité,2,1000,0,1,0,1,"86 Rue de la Charité, 2nd arr., 69002 Lyon, France",1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,2
Hôtel Foch,3,1600,0,0,0,1,"59 Avenue Maréchal Foch, 6th arr., 69006 Lyon, France",1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2
Mercure Lyon Centre Plaza République,4,500,0,1,0,1,"5 Rue Stella, 2nd arr., 69002 Lyon, France",1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,2
Alexandra,4,600,0,1,0,1,"49 Rue Victor Hugo, 2nd arr., 69002 Lyon, France",1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2
Ibis Styles Lyon Croix Rousse,3,2500,0,1,0,1,"48 Rue Henon, 4th arr., 69004 Lyon, France",1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,2
Aparthotel Adagio Lyon Patio Confluence,4,1600,0,0,0,0,"50 Cours Charlemagne, 2nd arr., 69002 Lyon, France",1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2
Hotel Victoria Lyon Perrache Confluence,2,1100,0,1,0,1,"3 Rue Delandine, 2nd arr., 69002 Lyon, France",0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2
Séjours & Affaires Lyon Saxe-Gambetta,0,1100,0,0,0,1,"34 Grande Rue De La Guillotière, 7th arr., 69007 Lyon, France",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
Crowne Plaza Lyon Parc de la Tête d'Or,4,3600,0,1,0,1,"22, Quai Charles De Gaulle, 6th arr., 69006 Lyon, France",1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,2
Greet Hotel Lyon Confluence,3,1100,0,1,0,1,"26, cours De Verdun Perrache, 2nd arr., 69002 Lyon, France",1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,2
Hôtel Tête d'or,2,1900,0,1,0,1,"62, rue Garibaldi, 6th arr., 69006 Lyon, France",1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
Le Phénix Hôtel,4,1000,0,1,0,1,"7 Quai De Bondy, 5th arr., 69005 Lyon, France",1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,2
Hôtel Taggât,2,1500,0,0,0,1,"110 Rue Vendome, 6th arr., 69006 Lyon, France",0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,2
MiHotel Gailleton,0,300,0,1,0,1,"2 place Gailleton, 2nd arr., 69002 Lyon, France",1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,2
MiHotel Bellecour,0,100,0,1,0,1,"5 Place Bellecour, 2nd arr., 69002 Lyon, France",1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,2
Hôtel du Simplon,3,900,0,1,0,1,"11 Rue Duhamel, 2nd arr., 69002 Lyon, France",1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,2
Campanile Lyon Centre - Gare Perrache - Confluence,3,900,0,1,0,1,"17 Place Carnot, 2nd arr., 69002 Lyon, France",1,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,2
MiHotel Tour Rose,0,700,0,1,0,1,"22 Rue du Bœuf, 5th arr., 69005 Lyon, France",1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,2
Néméa Appart Hotel Résidence So Cloud,4,2000,1,0,0,1,"53 Rue Desaix, 3rd arr., 69003 Lyon, France",0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,2
Au Patio Morand,3,1600,0,0,0,1,"99, Rue de Créqui, 6th arr., 69006 Lyon, France",1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2
Hôtel Saphir Lyon,3,2500,0,1,0,1,"18, Rue Louis Loucheur, 9th arr., 69009 Lyon, France",1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,2
Citadines Part-Dieu Lyon,3,1400,0,0,0,1,"91-95 Rue Moncey, 3rd arr., 69003 Lyon, France",0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,2
ibis budget Lyon Centre Confluence,2,1700,0,1,0,1,"24, Quai Perrache, 2nd arr., 69002 Lyon, France",1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,2
Odalys City Lyon Confluence,0,1700,1,1,0,1,"7 cours Bayard, 2nd arr., 69002 Lyon, France",0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,2
Hotel Des Remparts Perrache,3,900,0,0,0,1,"19, Place Carnot (côté Saône ), 2nd arr., 69002 Lyon, France",1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,2
Séjours & Affaires Lyon Saint-Nicolas,0,2100,0,0,0,1,"90 Boulevard Vivier Merle, 3rd arr., 69003 Lyon, France",0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2
Maison Nô - Hôtel et Rooftop,4,1000,0,1,0,1,"11 Rue du Bat d'Argent, 1st arr., 69001 Lyon, France",1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,2
Privilodges Lyon,3,4200,0,0,0,1,"14 rue Jacqueline Auriol, Angle de l'avenue Jean Mermoz, Lyon, 8th arr., 69008 Lyon, France",1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,2
MiHotel Bizolon,0,450,0,0,0,1,"11 Rue Clotilde Bizolon, 2nd arr., 69002 Lyon, France",1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,2
Le Gourguillon,0,700,0,0,0,1,"46, montée du Gourguillon, 5th arr., 69005 Lyon, France",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2
Hôtel du Helder,2,900,0,0,0,1,"38 Rue de Marseille, 7th arr., 69007 Lyon, France",0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2
Hôtel du Dauphin,2,200,0,0,0,1,"9, Rue Victor Hugo, 2nd arr., 69002 Lyon, France",0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,2
Hôtel Le Boulevardier,2,800,0,1,0,1,"5, rue de la Fromagerie, 1st arr., 69001 Lyon, France",0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2
Hotelo Lyon Ainay,2,900,0,1,0,1,"19, Cours de Verdun-Gensoul, 2nd arr., 69002 Lyon, France",0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,2
Appart'City Lyon Part Dieu Garibaldi,2,1800,0,0,0,1,"40 Rue de l'Abondance, 3rd arr., 69003 Lyon, France",0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2
MiHotel Sala,0,300,0,1,0,1,"26 Rue Sala, 2nd arr., 69002 Lyon, France",1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,2
Hôtel Mercure Lyon Centre Lumière,4,3000,0,1,0,1,"69 Cours Albert Thomas, 3rd arr., 69003 Lyon, France",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,2
Hotel Le Royal Lyon - MGallery,5,150,0,1,0,1,"20 Place Bellecour, 2nd arr., 69002 Lyon, France",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,2
Mercure Lyon Centre Beaux-Arts,4,400,0,1,0,1,"73-75 Rue du Président Edouard Herriot, 2nd arr., 69002 Lyon, France",1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,2
Grand Hotel des Terreaux,4,900,1,0,0,1,"16 rue Lanterne, 1st arr., 69001 Lyon, France",1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,2
MiHotel Vieux Lyon,0,500,0,0,1,1,"3 Avenue du Doyenné, 5th arr., 69005 Lyon, France",1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,2
MiHotel Comte,0,350,0,1,0,1,"17 Rue Auguste Comte, 2nd arr., 69002 Lyon, France",1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,2
ibis budget Lyon Gerland,2,3600,0,1,0,1,"1 Rue Jules Carteret, 7th arr., 69007 Lyon, France",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2
Best Western Lyon Saint-Antoine,3,350,0,1,0,1,"4 rue de l'ancienne préfecture, 2nd arr., 69002 Lyon, France",1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,2
Mama Shelter Lyon,2,1600,0,1,0,1,"13 rue Domer, 7th arr., 69007 Lyon, France",1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,2
Residhome Lyon Gerland,3,2300,0,0,0,1,"2 Rue Marie Madeleine Fourcade, 7th arr., 69007 Lyon, France",1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2
Hotel Lyon-ouest,3,3700,0,1,0,1,"50, Quai Professeur Paul Sédallian, 9th arr., 69009 Lyon, France",1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,2
Appart hôtel Q7 Lodge Lyon 7,4,1900,0,0,0,1,"7 rue Félix Brun, 7th arr., 69007 Lyon, France",1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,2
Mercure Lyon Centre Brotteaux,4,2400,0,1,0,1,"114, Boulevard des Belges, 6th arr., 69006 Lyon, France",1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,2
Hôtel Charlemagne,4,1500,0,1,0,1,"23 Cours Charlemagne, 2nd arr., 69002 Lyon, France",1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,2
Odalys City Lyon Bioparc,4,4800,0,1,0,1,"60, Avenue Rockefeller, 8th arr., 69008 Lyon, France",1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,2
Residhotel Lyon Part Dieu,3,2100,0,1,0,1,"79 Boulevard Marius Vivier Merle, 3rd arr., 69003 Lyon, France",1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,2
ibis Lyon Part Dieu Les Halles,3,1600,0,1,1,1,"78, Rue de Bonnel, 3rd arr., 69003 Lyon, France",1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,2
Comfort Suite Rive Gauche Lyon Centre,3,1100,0,0,0,1,"31, rue Chevreul, 7th arr., 69007 Lyon, France",1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,2
Hotel des Celestins,3,200,0,0,0,1,"4 Rue des Archers, 2nd arr., 69002 Lyon, France",1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,2
Adonis Lyon Dock Ouest,3,3600,0,1,0,1,"39 Rue Des Docks, 9th arr., 69009 Lyon, France",1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,2
Appart'City Lyon Part-Dieu,3,2200,0,1,0,1,"111-113, Boulevard Vivier-Merle, 3rd arr., 69003 Lyon, France",0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,2
B&B HOTEL Lyon Centre Part-dieu Gambetta,3,1900,0,0,0,1,"93 cours Gambetta, 3rd arr., 69003 Lyon, France",1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,2
MOB HOTEL Lyon Confluence,3,2900,0,1,0,1,"55 Quai Rambaud, 2nd arr., 69002 Lyon, France",1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,2
Ibis Budget Lyon Centre - Gare Part Dieu,2,2300,0,1,0,1,"52, Rue de la Villette, 3rd arr., 69003 Lyon, France",1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,2
Ibis Styles Lyon Centre - Gare Part Dieu,3,2300,0,1,0,1,"54 rue de la Villette, 3rd arr., 69003 Lyon, France",1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,2
Lagrange Aparthotel Lyon Lumière,4,3100,0,1,0,1,"81-85 Cours Albert Thomas, 3rd arr., 69003 Lyon, France",1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,2
Appart’City Confort Lyon Gerland,3,2200,0,0,0,1,"175 Avenue Jean Jaurès, 7th arr., 69007 Lyon, France",0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,2
Résidence Villemanzy,3,1600,0,0,0,1,"21 Montee St Sebastien, 1st arr., 69001 Lyon, France",0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,2
Keystone Boutique Hôtel,0,1900,0,1,0,1,"15 B Rue Casimir Périer, 2nd arr., 69002 Lyon, France",1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,2
Mercure Lyon Centre - Gare Part Dieu,4,2300,0,1,0,1,"50 Rue de la Villette, 3rd arr., 69003 Lyon, France",1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,2
ibis Styles Lyon Centre Confluence,3,1700,0,1,1,1,"24 quai Perrache, 2nd arr., 69002 Lyon, France",1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,2
Appart’City Lyon Vaise St Cyr,2,3400,0,0,0,1,"51, bis rue de Saint Cyr, 9th arr., 69009 Lyon, France",0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
ibis Lyon Centre Perrache,3,1100,0,1,0,1,"28 Cours de Verdun Perrache, 2nd arr., 69002 Lyon, France",1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,2
Novotel Lyon Gerland Musée des Confluences,4,2800,1,1,0,1,"70 Avenue Leclerc, 7th arr., 69007 Lyon, France",1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,2
